App Bundle Id,Description,Category
com.ggs.heavy.excavator.stone.cutter," Try this new concept in heavy excavator games with an advanced-level of driving. Yes! It’s a unique blend of crane games and dumper truck games where you need to clear the natural blockage with heavy excavator crane cutter and driller. If you are getting tired from typical loader truck driving games then you have landed at the right place. You’ll get the chance to drive excavator crane simulator in an unprecedented way. Time to put your driving hat ON to enjoy this excavator simulator and other top-notch heavy machines. Roads are blocked and paths are narrowed down due to land sliding BUT then that's the FUN; Drive stone cutting and drilling machines to the blocked path in a hilly environment, use the drill machine to cut down those gigantic rocks and cut them into small pieces by using excavator cutter. Show your excellent bulldozer driver skills, load the pieces and clear the blockage. Let the adventure of this unique concept begin with downloading HEAVY EXCAVATOR: STONE CUTTER and enjoy this outstanding experience of knocking down these huge rocks.***Features***• An absolute treat for the lovers of heavy construction crane driving with comprehensive gameplay of multiple missions.• Amazing gameplay adding a cherry topping to heavy machinery game.• Unique method of using excavator as stone crusher which is rare to see in loading game and drilling game.• Impressive and intuitive on screen smooth controls.• Realistic 3D environment with beautiful breath taking hilly area driving and construction machines.• HD sound quality for the lovers of loader truck gamesIn short, the paramount of crane games is finally here. So, brace yourself with the best of loader truck driving games as a real truck driver. Operate heavy machinery to help people on twisty roads which are specially designed for expert drivers. Just play HEAVY EXCAVATOR: STONE CUTTER, master of excavator games.  ",Simulation
com.wapoapp," ** GAY DATING FOR MEN 18 YEARS AND OLDER ** Wapo is one of the most popular dating apps for gay, bi or curious men. It's fast, easy to use, no hassle and user friendly. Most features are completely free, including unlimited chat. The app is fully moderated for your safety, and we work hard to make sure the men you connect with are genuine. We provide free 1-2-1 support to all users. WAPO FEATURES * TRACKS: see who viewed your profile and even what they think of you * PUSH NOTIFICATIONS: receive messages even when Wapo is asleep * MORE PHOTOS: up to 10 photos per profile * TRAVEL: log in to other locations to meet men before you travel there * PASSCODE: lock the app with a 4-digit passcode for extra privacy * PRIVATE PHOTOS: lock your face pics and have complete control over who sees them * VIDEO: send and receive free video messages * FILTER: save time by seeing only the type of men you are interested in Wapo is FREE to use and quick to sign up. No email address is required!  ",Social
com.dailymail.online," One of Google's ""Best Apps of 2014 & 2015"" with over 2 million downloads, the MailOnline (Daily Mail) app gives you everything you've come to expect and love from the world's largest English-language newspaper website, but with quick, easy and free access on your phone -- accessible even when you're offline.Feed your daily addiction with stories & photos from all our top channels: US & World News, Celebrity & Showbiz, Sports, Femail, Science & Tech, Health, Money, Travel, and many more! See what everyone's talking about and download our app today.FEATURES:• Over 15 Channels of must-read articles and photos - that's over 800+ original stories every day!• Offline Mode: Pre-load stories & galleries to access when you're offline or without reception - great for commutes!• Select a Location: Choose from US, UK or Rest of World to ensure you get the news most relevant to you.• Express Yourself: Post your Comments on articles or Rate other user's comments that you like or dislike.• Custom Settings: Select when data and images sync based on your preferred connection (Wi-Fi or 3G).• Choose which Channels you want to sync and when.If you have any trouble with the app or want to suggest new features and feedback, please email us at androidapp@mailonline.co.uk so we can help.  ",News & Magazines
943431075,"Become a Pro Tennis Champion! Play Circular Tennis – fun 4, 3 & 2 Player games! Accept the challenge and enter the circle where the last man standing wins! Have you ever played a tennis game where 4 players are competing against each other? Surely not. Circular Tennis is not one of those regular free tennis games for kids and adults – it is one of those mini games for 2, 3 or 4 players to play with friends and family.Imagine no net, no court lines, no referees - just a circle, racquets, and you and your friends in the role of the world's greatest tennis players. Simple mini games like this can be really fun.   HOW TO PLAYIt's easy to play - duck or hit the ball to stay in this mini tennis game. Once the ball starts moving faster, you will find out why this is one of those simple, but really fun multiplayer games to play with your friends.FEATURES:► Multiplayer game – play 4, 3 or 2 player games► Last man standing mode► Fast gameplay ► Choose from 8 male and 4 female pro tennis playersMULTIPLAYER GAMES ARE MORE FUNHow many really fun multiplayer games do you know of? With 2, 3 and 4 player modes, you can hit the Circular Tennis Court and create a challenge with your buddies. If you like simple, addicting and fun games - this family friendly game for kids and adults will keep you entertained for hours.Why play fun games alone? DOWNLOAD “Circular Tennis 2 Player Games”, choose a 4, 3 or 2 player mode and choose your rivals for one of many to come multiplayer tennis games for kids and adults. Gather your friends and get that vicious circle of free tennis games running. Rank #1 among your friends, be the last man standing and win that Circular Grand Slam.Become a Pro Tennis Champion! Play Circular Tennis - fun 4, 3 & 2 Player games!",Games
412453843,"One man, one shotgun... and lots of stupid zombies.Those undead creatures are back, and you are humanity's last hope to keep them brainless. But beware, ammo is limited. You will have to get crafty and use the straight bullets, grenades, split, buck and laser shots in the most effective way possible to survive hundreds of levels.Features:- hundreds of levels- universal app- supports Retina display",Games
net.makerlabs.android_snowcone3," It's hot! Oh it's a HOT Summer! Don't you feel like you're missing something? Something totally Icy? Something totally FROZEN?? That is Snow Cone. Our Snow Cone Princess could offer you the magic Snow Cone in our newly released app - Snow Cone Maker.This sweet frozen dessert is really hit the spot. When the heat rises, cool yourself off with an icy and yummy snow cone! Sit back and relax this hot summer with snow cone maker. Those who crave for yummy and icy snow cones to fulfill their sweet tooth will love making their own snow cone.Let's start from making the ice cubes. You can choose the ice shapes you like. Play a puzzle game to win your snow cone shape. It's so fun to design your own cones with tons of colors, stickers, and even you can draw whatever you like on your cone. What a nice creation. Want to have sweet yummy syrups? They are freezed by the ice. Use the brush and the hammer to get them out. Choose multiple flavors and put it with ice. Decorate your snow cone with fruity toppings, sprinkles, sweet candies and other tasty things. Wow, look at the creation you made, you are a talented frozen food chef now. Enjoy your summer frozen dessert and show your yummy icy snow cone to the best friends. Wow, you are the best summer frozen dessert chef. Enjoy hours of fun making and decorating.Features:- Be a real summer sweet frozen dessert chef.- Make the ice with kinds of molds.- Design the best cone with tons of decorations.- Play mini game to get the shapes and mutiple flavors.- Design your icy delight with tons of super cool decorations.- When you're finished, take a picture and share your yummy hot summer treat.- Fun hot summer icy dessert theme.For more cooking games, visit our official site at http://www.makerlabs.net/Any new idea or suggestions to our game? Please follow us on Twitter at https://twitter.com/The_MAKER_LAB  ",Casual
com.hotheadgames.google.free.rawsniper," Welcome to your new First-Person Shooter assignment.FIRST-PERSON MISSIONSYou are a covert special ops soldier ready to play your part in dangerous military FPS attacks and silent assassin missions.CHOOSE YOUR FIREPOWERWith access to powerful guns you will rely on your marksman skills to finish the job. Upgrade your sniper rifle to improve accuracy, damage and range.TAKE THE SHOTYour job as sniper is to travel deep into enemy territory to locate and eliminate hidden targets. Stare down your rifle scope, zoom in to find and identify the target. Take a breath...and pull the trigger to make the Kill Shot.CONFIRM THE KILLWe need confirmed kills soldier. Good luck out there.HIGH VELOCITY GAMEPLAY- Over 800 first person shooter missions to complete.- Awesome 3D graphics.- Unforgettable bullet cam kill shot moments.- Global Ops event system with prizes to be won- 50 unique maps and stunning locations.DEADLY WEAPONS- 100+ different weapons to choose from- Maximize your firepower with 4 weapon classes:+ Sniper Rifle,+ Assault Rifle+ Shotgun+ SAW Gun- Unlock powerful upgrades for every weapon.KILLER POWER-UPS- Spotter - quickly find all enemies.- Slow-Mo - slow down time to line up the perfect Kill Shot.- Armor-Piercing Bullets - if you can hit it, you will kill it.GAME CENTER SUPPORT- 4 Leaderboards to challenge your friends.- 50 Achievements to complete and earn in-game rewards. Kill Shot is rated 17+ and contains frequent/intense realistic violence. By downloading this app you are agreeing to be bound by the terms and conditions of Hothead's Terms of Use (www.hotheadgames.com/termsofuse) and are subject to Hothead's Privacy Policy (www.hotheadgames.com/privacy-policy).©2015 Hothead Games Inc., Hothead, and Kill Shot are trademarks or registered trademarks of Hothead Games Inc., all rights reserved.  ",Simulation
292987597,"AS SEEN IN CONSUMER REPORTS! Find out why the world is sleeping better with White Noise Free Sleep Sounds. Features ambient sounds of the environment to help you relax during the day and sleep great at night.Do you have trouble going to sleep? Are you traveling on a plane and need a quick power nap? Does your newborn baby wake up in the middle of the night? There are numerous benefits to using White Noise: • Helps you sleep by blocking distractions • Relaxes and reduces stress • Pacifies fussy and crying babies • Increases focus while enhancing privacy • Soothes headaches and migraines • Masks tinnitus (ringing of the ears) Even when you’re asleep, your brain is constantly scanning and listening for sounds. If it’s too quiet, unwanted noises such as faucet drips or police sirens can interrupt your sleep. White Noise generates sounds over a wide range of frequencies, masking those noise interruptions, so you can not only fall asleep, but stay asleep. SOUND CATALOGAir Conditioner, Airplane Travel, Amazon Jungle, Beach Waves Crashing, Blowing Wind, Blue Noise, Boat Swaying in Water, Brown Noise, Camp Fire, Cars Driving, Cat Purring, Chimes Chiming, City Streets, Clothes Dryer, Crickets Chirping, Crowded Room, Dishwasher Rinsing, Extreme Rain Pouring, Frogs at Night, Grandfather Clock, Hair Dryer Blowing, Heartbeat, Heavy Rain Pouring, Light Rain Pouring, Ocean Waves Crashing, Oscillating Fan, Pink Noise, Rain on Car Roof, Rain Storm, Running Shower, Running Water, Stream Water Flowing, Thunder Storm, Tibetan Singing Bowl, Train Ride, Vacuum Cleaner, Violet Noise, Water Dripping, Water Sprinkler, White NoiseAPPLICATION FEATURES • 40+ perfectly looped sounds with additional free sounds when you download the White Noise App at http://whitenoisemarket.com/• iPhone 5, 6, 6+ Retina display support with high resolution photos.  Portrait and Landscape orientations.• Record and professionally loop sounds without being an audio engineer!• Revolutionary Mix Pad editor for creating new soundscapes like a DJ with support for adjusting sound position, sound variance, volume, and pitch of each individual sound in the mix• Upload and Share your recordings and mixes with the White Noise Market app• Full screen digital clock with multiple colors and brightness controls makes it the perfect companion for any nightstand• Advanced alarm and timer system that slowly fades audio in and out so you awake naturally feeling more refreshed• On-screen media player and volume controls with swipe gesture support for navigating sound collection• Heart favorite sounds and mixes in the sound catalog for quick access using the Favorites view• Use iPod Music as alarms that slowly fade in so you wake refreshed • AirPlay sounds to Bluetooth devices or Apple TV• Remote media controls on lock screen and headphones• Advanced controls for volume, balance, pitch, mixing with iPod music, looping the playlist, custom alarm snooze times, and more• Upgrade to the full version to have audio play in the background and to remove advertising.PRESS REVIEWS White Noise has been featured by popular TV shows (Today Show, Dr. Oz Show, FOX&Friends;, Late Night with Jimmy Fallon), major media outlets (NBC News Today, Health Magazine, The Washington Post, NY Times, CNET, Esquire, PC Magazine), and raved about by millions of satisfied customers.  Visit our website at http://www.tmsoft.com/ for more details.UPGRADEWhite Noise was created for the original iPhone in 2008 by TMSOFT and has been continuously updated with new features.  Download the full version of White Noise for background audio, additional alarms, Apple watch integration, and no ads.  Just tap the + button and upgrade to learn more.MORE INFODownload new sounds at http://whitenoisemarket.com/Like us on Facebook at https://www.facebook.com/WhiteNoiseAppFollow us on twitter at https://twitter.com/whitenoiseappSupport and FAQ info at http://www.tmsoft.com/white-noise/support/",Health & Fitness
com.company.appname," Get a full report in 72 hours with details about where you stand and recommendations on next step. •	Analyze what is being said about you and your medical practice •	Know how your patients feel about you•	Get reports and analytics on-the-go•	Know your social media standing•	Update your internet presence•	Categorize conversations by topics•	Have a quick reality check•	Update your digital marketing toolsWe let you know what your patients say about your services in their reviews by conducting audits of doctor-review websites that people rely on. An audit will tell you where you are placed compared to other healthcare professionals and institutions.Who are we?The MediaMedx team is a combination of Medical Practitioners, Data Analysts, Social Media Specialists, and Business Analysts. Their collective experience fuses together to bring you detailed insight into your medical footprint and improve your online presence to make it easier to patients to find you across various medical review sites and other online assets.Get in touch with us today to know more what your patients are saying about you and what you can do about it.  ",Medical
com.crone.worldofskins,"  10 000 Skins for Minecraft + Skins Editor!We present our new application from one of the most popular skins developers for Minecraft! Especially for you, we have compiled a collection of unique skins that are not ashamed to show your friends. Absolutely everyone in this app will find for themselves the most beautiful, the most interesting of the skin and can easily install it on your Minecraft. Two categories: for boys and girls, will not make you long to find your favorite skin. Explore it in 3D, and then a finger touch in 2d increase to the smallest pixel!With built in skins editor you can edit your favorite skins, modify each pixel and save to your collection!If your phone is turned off, now you do not have to re-flipping all the skins, because the new system, every single skin is stored in the position in which you left it the last time.To select their most favorite skins here! Push on the heart and the skin will go to your favorite collection of skins! Remove from collection simply need to click on the heart again.It is also possible to make the skin on the entire screen, to do so, open the menu and click on the item Zoom!If you want to quickly open the skin recommended by friend you need to open useful function ""Open the skin"" with it you will quickly go to a needed skin, simply enter its number!In order to know the number of the current skin you have two options:1. Go to the landscape orientation.2. Open the menu and see the number on the selected item.This is an unofficial application for Minecraft Pocket Edition. This application is not affiliated in any way with Mojang AB. The Minecraft Name, the Minecraft Brand and the Minecraft Assets are all property of Mojang AB or their respectful owner. All rights reserved. In accordance with http://account.mojang.com/documents/brand_guidelines  ",Tools
596633321,"► Ứng dụng chơi cờ thông minh nhất! Cờ Tướng Việt Nam hỗ trợ tới 4 chế độ chơi cùng với 7 cấp độ khó khác nhau. Từ người mới tập chơi đến đại kiện tướng đều có thể trải nghiệm hàng giờ chơi với nhiều thách thức. Ngoài ra bạn còn có thể thư giãn với việc xem lại những trận đấu đỉnh cao ở các giải đấu quốc tế của những đại kiện tướng. Chúc bạn có những trải nghiệm thú vị!Tính năng:- Hỗ trợ 3 chế độ chơi khác nhau: người với máy, người với người trực tiếp, qua Wifi.- Thuật toán chơi rất thông minh với 7 cấp độ chơi.- Hàng trăm ván cờ thế hóc búa.- Xem lại hàng trăm ván cờ trong các giải đấu nổi tiếng thế giới- Nạp / Lưu ván cờ.- Dàn quân.- Lịch sử,  thống kê.- Tính giờ.- Đi lại (Undo)- Hiển thị các nước đi hợp lệ- Hiển thị nước đi trước đó.- Gợi ý nước đi.==============================► BEST CHINESE CHESS ON APPSTORE  Co Tuong (Chinese Chess) is the ultimate iPhone and iPod touch Chinese Chess board game. Chinese Chess uses pieces similar to those of International Chess. However, the variations in the pieces, their movements, and the board layout make Xiangqi an exciting and challenging alternative to its cousin.  Chinese Chess is flexible for players at any level. From the avid Chinese Chess enthusiast to the humble beginner to the game, Chinese Chess will definitely bring hours of enjoyment for you on your iPhone!   Features include:• 3 play modes : Computer-Human, Human-Human, Human-Human via Wifi.   • The strongest Chinese Chess engine on the market at the moment • 7 levels of difficulty • Hundreds problem to solve• Hundreds well-known game to review• Support Save/Load game • Posture and quick deal • Support chess timer • Full undo-redo function with unlimited moves. • Option to show legal moves • Option to show last move • Support Hint moves  Languages:   •Chinese •Japanese •Korean •French •Spanish •German •Italian •Russian",Games
com.kidsfoodinc.android_make_cakeonekf, Put on your apron and grab your spoon! Make chocolate cake with creamy vanilla frosting and scrumptious cherries all around!Features:- Cool mini games to help you make the cake!- Real pictures that leave your mouth watering!- More than 200 decorations to customize your cake!- Eat!- Share with Friends!Join our Facebook Page: https://www.facebook.com/pages/Kids-Food-Games-Inc/587789347993498Follow us on Twitter: https://twitter.com/KidsFoodGamesInKnow more about Kids Food Games at our official website: http://www.kidsfoodinc.com/  ,Casual
com.ubisoft.raymananniversary," To celebrate its 20th anniversary, the original Rayman is back… and for the 1st time on your mobile!Embark on epic adventures with Rayman in one of the most influent platform game of all times and relive the experience of playing the original version of the 1995 hit.“Rayman is side-scrolling, comic animation at its finest” Gamespot 1996“Rayman ranks as one of the most visually appealing games of this or any year” Gamepro 1995“This will probably go down in the history books as the brightest platform game ever” Playstation Magazine 1995 “One of the greatest platformers games to come out on PC” Joystick 1995The evil Mr Dark has stolen the Great Protoon and captured the Electoons! Play as Rayman, the legendary limbless hero, free the Electoons, defeat Mr Dark and restore the world’s harmony. Features:• EMBODY Rayman, your favorite hero born in 1995• REDISCOVER the fantasy cartoon worlds of the original game: The Dream Forest, The Band Lands, The Blue Mountains, The Candy Castle…• RUN, dodge, jump, punch your way through the various levels of this classic platform game.• UNLEASH Rayman’s special powers from the telescopic fist to the helicopter and defeat hostile creatures.• SEEK OUT & FREE the Electoons to complete each level and restore the cosmic balance.• HELP iconic and funny side characters in each world: The fairy Betilla, Tarayzan, Joe the extraterrestrial.• DEFEAT each and every boss (Moskito, Mister Sax, Mr Dark…) in epic showdowns to free your friends.• BEAT the Hardcore mode with one single life or choose the Casual mode for infinite tries.You are a Rayman’s fan?  Go check out our other awesome Rayman games from Ubisoft: Rayman Jungle Run, Rayman Fiesta Run & Rayman Adventures!Game available in: English, French, Italian, German, Spanish, Chinese, Japanese, Korean and Russian.Stay on top of your game! Get the latest news, deals, and more at....FACEBOOK: http://facebook.com/raymanTWITTER: http://twitter.com/raymangame YOUTUBE: http://youtube.com/user/Ubisoft  ",Adventure
794528112,"Prepare to feel the FEVER in an explosive race against the clock! Join Sonic and friends in high-speed bursts of vertical jumping mayhem. Play for free and rack up huge combos to blast past your friends’ high scores.Use boosters, upgrades, unique character abilities and Chao pets to maximize your score. Then kick your game into overdrive with Fever Mode and hit the top of the Leaderboard! With brand new levels and leaderboards every week, the challenge never ends!Jump RevolutionAn all-new Sonic Jump experience - this time Sonic and friends are in an explosive race against time!Catch the FeverUnleash the Fever and enter hyper-speed as Sonic goes interstellar to score earth-shattering combos!  Compete Against Friends Every WeekBlast past your friends’ scores with weekly leaderboard refreshes that keep the challenge going! New Levels, New AdventuresJump to the heavens in brand new locations such as Mechanical Zone! Cast of Characters to Play & UpgradePlay as Sonic, Knuckles and a host of other famous characters. Upgrade their unique moves and abilities to help them soar to the skies.ChaoRecruit a legendary Chao from the Sonic universe! Find all the Chao to help you beat badniks, search for hidden rings and many more unique abilities!- - - - -Privacy Policy: http://www.sega.com/mprivacyTerms of Use: http://www.sega.com/termsThis game may include ""Interest Based Ads"" ​(please see http://www.sega.com/mprivacy#3IBADiscolure​ for more information)​​ and may collect ""Precise Location Data"" ​(please see http://www.sega.com/mprivacy#5LocationDataDisclosure​ for more information)",Games
